Order #,# ORD,# PLN,# REM,Status,Cmd Code,Equip,Start Dt/Tm,End Dt/Tm,Shipper Name,Shipper City,Consignee Name,Consignee City,Driver1 ID,Tractor,Trailer,Ref Type,Ref#
COKOXBALA,100,77,23,,COKE,DUMP,1/1/2025 0:00,1/1/2025 0:00,HUNT REFINERY,"TUSCALOOSA,AL/",CHENEY,"ALABASTER,AL/",,,,,
12626311,,,,Available,METINJEC,TANK,5/20/2025 0:01,5/20/2025 2:14,LHOIST - MONTEVALLO PLANT,"CALERA,AL/",STEEL DYNAMICS,"COLUMBUS,MS/",UNKNOWN,UNKNOWN,UNKNOWN,BOL,302029069
12574454*,,,,Available,METINJEC,TANK,5/26/2025 11:01,5/26/2025 11:02,LHOIST - MONTEVALLO PLANT,"CALERA,AL/",STEEL DYNAMICS,"COLUMBUS,MS/",UNKNOWN,UNKNOWN,1812,BOL,299888820
12626313,,,,Available,METINJEC,TANK,5/20/2025 15:00,5/20/2025 19:00,LHOIST - MONTEVALLO PLANT,"CALERA,AL/",STEEL DYNAMICS,"COLUMBUS,MS/",UNKNOWN,UNKNOWN,UNKNOWN,BOL,302028849
12574373*,,,,Available,METINJEC,TANK,5/26/2025 11:02,5/26/2025 13:13,LHOIST - MONTEVALLO PLANT,"CALERA,AL/",STEEL DYNAMICS,"COLUMBUS,MS/",UNKNOWN,UNKNOWN,1802,BOL,299885701
12626315,,,,Available,METINJEC,TANK,5/20/2025 8:01,5/20/2025 10:14,LHOIST - MONTEVALLO PLANT,"CALERA,AL/",STEEL DYNAMICS,"COLUMBUS,MS/",UNKNOWN,UNKNOWN,UNKNOWN,BOL,302028629
12626345,,,,Available,METINJEC,TANK,5/21/2025 18:00,5/21/2025 20:13,LHOIST - MONTEVALLO PLANT,"CALERA,AL/",STEEL DYNAMICS,"COLUMBUS,MS/",UNKNOWN,UNKNOWN,UNKNOWN,BOL,302030072
12628201,,,,Available,LKD,TANK,5/23/2025 3:00,5/23/2025 6:24,MISSISSIPPI LIME COMPANY,"CALERA,AL/",PINE BLUFF LANDFILL,"BALL GROUND,GA/",UNKNOWN,UNKNOWN,UNKNOWN,BOL,121979
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
